iter	Passed	Remaining
0	134	134825
1	135	67734
2	136	45281
3	136	34048
4	137	27334
5	138	22862
6	138	19679
7	139	17257
8	139	15393
9	140	13864
10	140	12632
11	140	11598
12	141	10713
13	141	9955
14	141	9298
15	142	8734
16	142	8226
17	142	7778
18	142	7379
19	143	7016
20	143	6692
21	143	6399
22	144	6129
23	144	5878
24	144	5645
25	145	5442
26	145	5251
27	146	5076
28	146	4904
29	146	4751
30	147	4603
31	147	4466
32	147	4334
33	148	4211
34	148	4094
35	148	3983
36	148	3877
37	149	3780
38	149	3690
39	150	3603
40	150	3518
41	150	3441
42	151	3363
43	151	3297
44	152	3226
45	152	3158
46	152	3095
47	152	3032
48	153	2970
49	153	2912
50	153	2855
51	153	2802
52	153	2750
53	154	2699
54	154	2651
55	154	2604
56	154	2560
57	154	2516
58	155	2474
59	155	2433
60	155	2394
61	155	2356
62	155	2319
63	156	2283
64	156	2248
65	156	2214
66	156	2181
67	156	2148
68	156	2117
69	157	2086
70	157	2058
71	157	2030
72	157	2002
73	157	1975
74	158	1950
75	158	1924
76	158	1899
77	158	1876
78	158	1853
79	159	1830
80	159	1808
81	159	1786
82	159	1765
83	159	1744
84	160	1723
85	160	1704
86	160	1684
87	160	1665
88	161	1648
89	161	1630
90	161	1612
91	161	1595
92	161	1578
93	162	1562
94	162	1546
95	162	1531
96	162	1516
97	163	1501
98	163	1485
99	163	1470
100	163	1456
101	163	1442
102	164	1428
103	164	1414
104	164	1401
105	164	1387
106	164	1376
107	165	1363
108	165	1351
109	165	1338
110	165	1326
111	165	1315
112	166	1304
113	166	1293
114	166	1282
115	167	1277
116	167	1267
117	168	1256
118	168	1246
119	168	1236
120	168	1226
121	168	1216
122	169	1207
123	169	1197
124	169	1188
125	169	1178
126	170	1169
127	170	1160
128	170	1151
129	170	1143
130	171	1134
131	171	1126
132	171	1117
133	171	1109
134	171	1101
135	172	1092
136	172	1085
137	172	1077
138	172	1071
139	173	1063
140	173	1055
141	173	1048
142	173	1040
